candidate_id,rank,score,reasoning
CAND_0077337,1,444.6361,"Senior AI Engineering candidate with 7.0 years of experience, currently working as a Staff Machine Learning Engineer at Paytm. Demonstrates strong hands-on capability in Semantic Search, QLoRA, pgvector, Pinecone; based in Kochi, Kerala with 60 days notice period."
CAND_0011687,2,436.4815,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Senior NLP Engineer at Niramai. Demonstrates strong hands-on capability in TensorFlow, OpenSearch, FAISS, PEFT; based in Indore, Madhya Pradesh with 15 days notice period."
CAND_0002025,3,423.2584,"Senior AI Engineering candidate with 5.9 years of experience, currently working as a Senior AI Engineer at Apple. Demonstrates strong hands-on capability in FAISS, TensorFlow, OpenSearch, Weaviate; based in Trivandrum, Kerala with 30 days notice period."
CAND_0081846,4,421.7245,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a Lead AI Engineer at Razorpay. Demonstrates strong hands-on capability in Information Retrieval, LlamaIndex, pgvector, Learning to Rank; based in Jaipur, Rajasthan with 30 days notice period."
CAND_0046525,5,415.1498,"Senior AI Engineering candidate with 6.1 years of experience, currently working as a Senior Machine Learning Engineer at Genpact AI. Demonstrates strong hands-on capability in Elasticsearch, LangChain, LlamaIndex, Information Retrieval; based in Pune, Maharashtra with 60 days notice period."
CAND_0018499,6,409.9054,"Senior AI Engineering candidate with 7.2 years of experience, currently working as a Senior Machine Learning Engineer at Zomato. Demonstrates strong hands-on capability in Weaviate, Pinecone, Information Retrieval, Milvus; based in Noida, Uttar Pradesh with 15 days notice period."
CAND_0086022,7,407.9183,"Senior AI Engineering candidate with 5.3 years of experience, currently working as a Senior Applied Scientist at Sarvam AI. Demonstrates strong hands-on capability in pgvector, Elasticsearch, QLoRA, Pinecone; based in Kolkata, West Bengal with 0 days notice period."
CAND_0068351,8,406.2437,"Senior AI Engineering candidate with 6.4 years of experience, currently working as a Lead AI Engineer at Sarvam AI. Demonstrates strong hands-on capability in pgvector, Qdrant, Elasticsearch, PEFT; based in Delhi, Delhi with 0 days notice period."
CAND_0080766,9,403.4313,"Senior AI Engineering candidate with 8.8 years of experience, currently working as a Staff Machine Learning Engineer at Salesforce. Demonstrates strong hands-on capability in Search Backend, LoRA, Search & Discovery, Search Infrastructure; based in Coimbatore, Tamil Nadu with 0 days notice period."
CAND_0008425,10,402.5606,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Senior NLP Engineer at Ola. Demonstrates strong hands-on capability in Learning to Rank, Qdrant, pgvector, Sentence Transformers; based in Kolkata, West Bengal with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0071974,11,399.8446,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Senior AI Engineer at Netflix. Demonstrates strong hands-on capability in LoRA, Learning to Rank, Weaviate, PEFT; based in Vizag, Andhra Pradesh with 45 days notice period."
CAND_0088025,12,397.5431,"Senior AI Engineering candidate with 8.6 years of experience, currently working as a Staff Machine Learning Engineer at Yellow.ai. Demonstrates strong hands-on capability in Pinecone, QLoRA, Hugging Face Transformers, RAG; based in Jaipur, Rajasthan with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0044855,13,395.8040,"Senior AI Engineering candidate with 6.6 years of experience, currently working as a Senior Data Scientist at Flipkart. Demonstrates strong hands-on capability in Learning to Rank, Hugging Face Transformers, OpenSearch, Information Retrieval; based in Coimbatore, Tamil Nadu with 60 days notice period."
CAND_0042029,14,385.3668,"Senior AI Engineering candidate with 6.5 years of experience, currently working as a Senior Data Scientist at Flipkart. Demonstrates strong hands-on capability in PyTorch, NLP, RAG, Elasticsearch; based in Delhi, Delhi with 45 days notice period."
CAND_0005260,15,383.6321,"Senior AI Engineering candidate with 5.2 years of experience, currently working as a Senior NLP Engineer at Netflix. Demonstrates strong hands-on capability in Information Retrieval, Semantic Search, Python, NLP; based in Chennai, Tamil Nadu with 60 days notice period."
CAND_0036184,16,380.4858,"Senior AI Engineering candidate with 6.0 years of experience, currently working as a Recommendation Systems Engineer at CRED. Demonstrates strong hands-on capability in QLoRA, FAISS, Hugging Face Transformers, LangChain; based in Trivandrum, Kerala with 30 days notice period."
CAND_0045250,17,379.4822,"Senior AI Engineering candidate with 6.6 years of experience, currently working as a Applied ML Engineer at Rephrase.ai. Demonstrates strong hands-on capability in Sentence Transformers, Milvus, LoRA, Embeddings; based in Delhi, Delhi with 15 days notice period."
CAND_0020877,18,376.0246,"Senior AI Engineering candidate with 5.1 years of experience, currently working as a Applied ML Engineer at CRED. Demonstrates strong hands-on capability in QLoRA, Elasticsearch, PyTorch, OpenSearch; based in Gurgaon, Haryana with 60 days notice period."
CAND_0041669,19,371.2417,"Senior AI Engineering candidate with 8.0 years of experience, currently working as a Recommendation Systems Engineer at CRED. Demonstrates strong hands-on capability in FAISS, Milvus, PEFT, QLoRA; based in Noida, Uttar Pradesh with 60 days notice period."
CAND_0037566,20,367.6834,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a Machine Learning Engineer at LinkedIn. Demonstrates strong hands-on capability in Pinecone, LlamaIndex, NLP, LoRA; based in Bangalore, Karnataka with 15 days notice period."
CAND_0050454,21,367.4772,"Senior AI Engineering candidate with 6.8 years of experience, currently working as a AI Engineer at Rephrase.ai. Demonstrates strong hands-on capability in PyTorch, LangChain, QLoRA, FAISS; based in Delhi, Delhi with 30 days notice period."
CAND_0007009,22,367.3288,"Senior AI Engineering candidate with 7.9 years of experience, currently working as a Recommendation Systems Engineer at Wysa. Demonstrates strong hands-on capability in Weaviate, Python, Embeddings, Learning to Rank; based in Noida, Uttar Pradesh with 30 days notice period."
CAND_0087630,23,365.5209,"Senior AI Engineering candidate with 7.2 years of experience, currently working as a AI Engineer at Vedantu. Demonstrates strong hands-on capability in Elasticsearch, pgvector, NLP, Learning to Rank; based in Gurgaon, Haryana with 30 days notice period."
CAND_0027691,24,364.6931,"Senior AI Engineering candidate with 6.5 years of experience, currently working as a NLP Engineer at Haptik. Demonstrates strong hands-on capability in LoRA, PEFT, Weaviate, Embeddings; based in Pune, Maharashtra with 15 days notice period."
CAND_0052328,25,360.4837,"Senior AI Engineering candidate with 6.5 years of experience, currently working as a Recommendation Systems Engineer at Amazon. Demonstrates strong hands-on capability in LoRA, OpenSearch, QLoRA, Learning to Rank; based in Pune, Maharashtra with 30 days notice period."
CAND_0011162,26,355.6655,"Senior AI Engineering candidate with 5.8 years of experience, currently working as a Recommendation Systems Engineer at upGrad. Demonstrates strong hands-on capability in FAISS, LangChain, LoRA, Milvus; based in Coimbatore, Tamil Nadu with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0046064,27,351.1212,"Senior AI Engineering candidate with 8.9 years of experience, currently working as a Senior NLP Engineer at Salesforce. Demonstrates strong hands-on capability in Python, Pinecone, OpenSearch, PEFT; based in Coimbatore, Tamil Nadu with 30 days notice period."
CAND_0076163,28,350.3812,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a NLP Engineer at Ola. Demonstrates strong hands-on capability in Weaviate, LangChain, Semantic Search, LlamaIndex; based in Chandigarh, Chandigarh with 60 days notice period."
CAND_0037980,29,347.1802,"Senior AI Engineering candidate with 9.0 years of experience, currently working as a Senior Applied Scientist at Niramai. Demonstrates strong hands-on capability in LoRA, Search Infrastructure, PyTorch, NLP; based in Kolkata, West Bengal with 0 days notice period."
CAND_0041610,30,346.3203,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a Recommendation Systems Engineer at Zoho. Demonstrates strong hands-on capability in LoRA, Elasticsearch, OpenSearch, LangChain; based in Indore, Madhya Pradesh with 30 days notice period."
CAND_0030031,31,345.1862,"Senior AI Engineering candidate with 5.7 years of experience, currently working as a AI Engineer at Microsoft. Demonstrates strong hands-on capability in Information Retrieval, PyTorch, Python, NLP; based in Trivandrum, Kerala with 30 days notice period."
CAND_0095528,32,344.8818,"Senior AI Engineering candidate with 5.3 years of experience, currently working as a Senior Data Scientist at Netflix. Demonstrates strong hands-on capability in OpenSearch, PyTorch, Semantic Search, pgvector; based in Indore, Madhya Pradesh with 45 days notice period."
CAND_0064326,33,343.4699,"Senior AI Engineering candidate with 7.6 years of experience, currently working as a Search Engineer at Sarvam AI. Demonstrates strong hands-on capability in PyTorch, Milvus, Semantic Search, Weaviate; based in Gurgaon, Haryana with 45 days notice period."
CAND_0081053,34,342.4275,"Senior AI Engineering candidate with 5.4 years of experience, currently working as a NLP Engineer at Glance. Demonstrates strong hands-on capability in LoRA, QLoRA, Qdrant, Learning to Rank; based in Chandigarh, Chandigarh with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0062247,35,342.3155,"Senior AI Engineering candidate with 7.3 years of experience, currently working as a AI Engineer at Google. Demonstrates strong hands-on capability in Pinecone, Qdrant, RAG, PEFT; based in Kochi, Kerala with 30 days notice period."
CAND_0006418,36,342.2835,"Senior AI Engineering candidate with 5.7 years of experience, currently working as a Machine Learning Engineer at Verloop.io. Demonstrates strong hands-on capability in Semantic Search, Embeddings, TensorFlow, Weaviate; based in Gurgaon, Haryana with 60 days notice period."
CAND_0029367,37,341.8414,"Senior AI Engineering candidate with 5.7 years of experience, currently working as a Senior Data Scientist at Rephrase.ai. Demonstrates strong hands-on capability in TensorFlow, QLoRA, FAISS, Sentence Transformers; based in Bangalore, Karnataka with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0065195,38,341.3005,"Senior AI Engineering candidate with 5.1 years of experience, currently working as a Search Engineer at CRED. Demonstrates strong hands-on capability in QLoRA, Elasticsearch, Hugging Face Transformers, Qdrant; based in Kolkata, West Bengal with 45 days notice period."
CAND_0096172,39,341.1465,"Senior AI Engineering candidate with 5.2 years of experience, currently working as a NLP Engineer at Krutrim. Demonstrates strong hands-on capability in OpenSearch, Elasticsearch, Semantic Search, LangChain; based in Chennai, Tamil Nadu with 45 days notice period."
CAND_0067866,40,340.8299,"Senior AI Engineering candidate with 6.4 years of experience, currently working as a Senior Software Engineer (ML) at Tech Mahindra. Demonstrates strong hands-on capability in Embeddings, pgvector, Elasticsearch, LoRA; based in Noida, Uttar Pradesh with 45 days notice period."
CAND_0075574,41,339.8960,"Senior AI Engineering candidate with 5.7 years of experience, currently working as a Machine Learning Engineer at Haptik. Demonstrates strong hands-on capability in Hugging Face Transformers, pgvector, Weaviate, OpenSearch; based in Bangalore, Karnataka with 60 days notice period."
CAND_0042506,42,339.1286,"Senior AI Engineering candidate with 4.2 years of experience, currently working as a Search Engineer at Verloop.io. Demonstrates strong hands-on capability in PEFT, Semantic Search, TensorFlow, Information Retrieval; based in Mumbai, Maharashtra with 15 days notice period."
CAND_0061257,43,339.0294,"Senior AI Engineering candidate with 8.0 years of experience, currently working as a Staff Machine Learning Engineer at LinkedIn. Demonstrates strong hands-on capability in PEFT, Information Retrieval Systems, Search Infrastructure, Search Backend; based in Noida, Uttar Pradesh with 30 days notice period."
CAND_0077285,44,337.3543,"Senior AI Engineering candidate with 5.5 years of experience, currently working as a Recommendation Systems Engineer at Nykaa. Demonstrates strong hands-on capability in LoRA, Pinecone, Sentence Transformers, Embeddings; based in Ahmedabad, Gujarat with 60 days notice period."
CAND_0043228,45,336.1683,"Senior AI Engineering candidate with 6.8 years of experience, currently working as a Applied ML Engineer at Zoho. Demonstrates strong hands-on capability in NLP, Hugging Face Transformers, Sentence Transformers, Weaviate; based in Chennai, Tamil Nadu with 30 days notice period."
CAND_0040117,46,335.6255,"Senior AI Engineering candidate with 6.5 years of experience, currently working as a Recommendation Systems Engineer at PhonePe. Demonstrates strong hands-on capability in LlamaIndex, Embeddings, RAG, FAISS; based in Vizag, Andhra Pradesh with 15 days notice period."
CAND_0051630,47,334.8335,"Senior AI Engineering candidate with 6.0 years of experience, currently working as a Machine Learning Engineer at Razorpay. Demonstrates strong hands-on capability in Elasticsearch, Hugging Face Transformers, Embeddings, Python; based in Kolkata, West Bengal with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0022812,48,334.2746,"Senior AI Engineering candidate with 4.5 years of experience, currently working as a Applied ML Engineer at Dream11. Demonstrates strong hands-on capability in Weaviate, Pinecone, LoRA, Qdrant; based in Coimbatore, Tamil Nadu with 60 days notice period."
CAND_0099806,49,333.3889,"Senior AI Engineering candidate with 4.6 years of experience, currently working as a AI Engineer at Mad Street Den. Demonstrates strong hands-on capability in LoRA, RAG, pgvector, FAISS; based in Bhubaneswar, Odisha with 30 days notice period."
CAND_0049538,50,333.0841,"Senior AI Engineering candidate with 5.8 years of experience, currently working as a Applied ML Engineer at Saarthi.ai. Demonstrates strong hands-on capability in LlamaIndex, Learning to Rank, OpenSearch, Milvus; based in Jaipur, Rajasthan with 30 days notice period."
CAND_0091909,51,332.8789,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a Machine Learning Engineer at Rephrase.ai. Demonstrates strong hands-on capability in Pinecone, QLoRA, Qdrant, OpenSearch; based in Bangalore, Karnataka with 45 days notice period."
CAND_0064270,52,331.6602,"Senior AI Engineering candidate with 4.2 years of experience, currently working as a Applied ML Engineer at Verloop.io. Demonstrates strong hands-on capability in LlamaIndex, PyTorch, Learning to Rank, Sentence Transformers; based in Pune, Maharashtra with 45 days notice period."
CAND_0044222,53,331.0922,"Senior AI Engineering candidate with 7.7 years of experience, currently working as a AI Engineer at PolicyBazaar. Demonstrates strong hands-on capability in LlamaIndex, OpenSearch, Qdrant, Weaviate; based in Vizag, Andhra Pradesh with 60 days notice period."
CAND_0079387,54,329.5773,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a AI Engineer at Microsoft. Demonstrates strong hands-on capability in Python, Sentence Transformers, OpenSearch, QLoRA; based in Trivandrum, Kerala with 30 days notice period."
CAND_0039754,55,328.7938,"Senior AI Engineering candidate with 16.2 years of experience, currently working as a Senior Applied Scientist at Meta. Demonstrates strong hands-on capability in LlamaIndex, Qdrant, NLP, OpenSearch; based in Indore, Madhya Pradesh with 30 days notice period."
CAND_0053605,56,326.8392,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a Senior Software Engineer (ML) at Verloop.io. Demonstrates strong hands-on capability in LangChain, pgvector, Semantic Search, RAG; based in Noida, Uttar Pradesh with 30 days notice period."
CAND_0068811,57,326.4848,"Senior AI Engineering candidate with 8.0 years of experience, currently working as a Applied ML Engineer at Freshworks. Demonstrates strong hands-on capability in Qdrant, TensorFlow, Embeddings, pgvector; based in Pune, Maharashtra with 30 days notice period."
CAND_0010685,58,324.8691,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a NLP Engineer at Rephrase.ai. Demonstrates strong hands-on capability in LlamaIndex, PyTorch, Information Retrieval, Elasticsearch; based in Kolkata, West Bengal with 30 days notice period."
CAND_0069905,59,324.6082,"Senior AI Engineering candidate with 6.6 years of experience, currently working as a Applied ML Engineer at Sarvam AI. Demonstrates strong hands-on capability in LoRA, Sentence Transformers, LangChain, TensorFlow; based in Bhubaneswar, Odisha with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0058688,60,324.5654,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a AI Engineer at Vedantu. Demonstrates strong hands-on capability in LlamaIndex, Embeddings, TensorFlow, Information Retrieval; based in Berlin with 15 days notice period."
CAND_0061655,61,323.8573,"Senior AI Engineering candidate with 4.6 years of experience, currently working as a Machine Learning Engineer at Krutrim. Demonstrates strong hands-on capability in PEFT, Pinecone, PyTorch, Qdrant; based in Jaipur, Rajasthan with 15 days notice period."
CAND_0052682,62,323.6279,"Senior AI Engineering candidate with 6.6 years of experience, currently working as a NLP Engineer at Aganitha. Demonstrates strong hands-on capability in QLoRA, Semantic Search, FAISS, PyTorch; based in Vizag, Andhra Pradesh with 30 days notice period."
CAND_0047721,63,323.4796,"Senior AI Engineering candidate with 7.0 years of experience, currently working as a Senior Data Scientist at Microsoft. Demonstrates strong hands-on capability in Learning to Rank, Milvus, RAG, Information Retrieval; based in Coimbatore, Tamil Nadu with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0033861,64,322.8629,"Senior AI Engineering candidate with 8.0 years of experience, currently working as a Senior NLP Engineer at Mad Street Den. Demonstrates strong hands-on capability in Weaviate, LoRA, TensorFlow, LlamaIndex; based in Vizag, Andhra Pradesh with 30 days notice period."
CAND_0081852,65,322.1749,"Senior AI Engineering candidate with 5.9 years of experience, currently working as a Senior Data Scientist at Mad Street Den. Demonstrates strong hands-on capability in Semantic Search, Milvus, pgvector, Weaviate; based in Delhi, Delhi with 45 days notice period."
CAND_0030953,66,322.1124,"Senior AI Engineering candidate with 7.8 years of experience, currently working as a Search Engineer at Nykaa. Demonstrates strong hands-on capability in Learning to Rank, Qdrant, Python, Hugging Face Transformers; based in Chennai, Tamil Nadu with 45 days notice period."
CAND_0093763,67,321.3197,"Senior AI Engineering candidate with 5.0 years of experience, currently working as a Senior Software Engineer (ML) at Swiggy. Demonstrates strong hands-on capability in FAISS, LlamaIndex, pgvector, Sentence Transformers; based in Noida, Uttar Pradesh with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0006557,68,321.2573,"Senior AI Engineering candidate with 7.9 years of experience, currently working as a NLP Engineer at Paytm. Demonstrates strong hands-on capability in Elasticsearch, OpenSearch, LlamaIndex, Weaviate; based in Jaipur, Rajasthan with 120 days notice period. Note: notice period is longer (120 days) but technical alignment is strong."
CAND_0070202,69,319.8006,"Senior AI Engineering candidate with 5.1 years of experience, currently working as a Machine Learning Engineer at BYJU'S. Demonstrates strong hands-on capability in Embeddings, Qdrant, LoRA, Learning to Rank; based in Jaipur, Rajasthan with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0017960,70,318.7018,"Senior AI Engineering candidate with 7.7 years of experience, currently working as a Recommendation Systems Engineer at Nykaa. Demonstrates strong hands-on capability in LlamaIndex, QLoRA, Hugging Face Transformers, Qdrant; based in Bangalore, Karnataka with 60 days notice period."
CAND_0039383,71,316.2444,"Senior AI Engineering candidate with 7.1 years of experience, currently working as a Applied ML Engineer at Meesho. Demonstrates strong hands-on capability in FAISS, Hugging Face Transformers, QLoRA, NLP; based in Gurgaon, Haryana with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0074735,72,316.0441,"Senior AI Engineering candidate with 5.5 years of experience, currently working as a Applied ML Engineer at Rephrase.ai. Demonstrates strong hands-on capability in RAG, LlamaIndex, Weaviate, Information Retrieval; based in Chandigarh, Chandigarh with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0098846,73,315.0623,"Senior AI Engineering candidate with 7.6 years of experience, currently working as a AI Engineer at upGrad. Demonstrates strong hands-on capability in Hugging Face Transformers, PEFT, QLoRA, Qdrant; based in Indore, Madhya Pradesh with 45 days notice period."
CAND_0006567,74,314.7763,"Senior AI Engineering candidate with 7.9 years of experience, currently working as a Senior AI Engineer at Meta. Demonstrates strong hands-on capability in Search Backend, NLP, Python, Search & Discovery; based in Noida, Uttar Pradesh with 60 days notice period."
CAND_0000031,75,314.1701,"Senior AI Engineering candidate with 6.0 years of experience, currently working as a Recommendation Systems Engineer at Swiggy. Demonstrates strong hands-on capability in FAISS, Pinecone, Embeddings, Information Retrieval; based in Hyderabad, Telangana with 60 days notice period."
CAND_0066999,76,314.0973,"Senior AI Engineering candidate with 5.9 years of experience, currently working as a Recommendation Systems Engineer at Microsoft. Demonstrates strong hands-on capability in OpenSearch, FAISS, Pinecone, Information Retrieval; based in Delhi, Delhi with 15 days notice period."
CAND_0071939,77,312.0593,"Senior AI Engineering candidate with 6.4 years of experience, currently working as a Data Scientist at Krutrim. Demonstrates strong hands-on capability in Elasticsearch, OpenSearch, Embeddings, QLoRA; based in Pune, Maharashtra with 30 days notice period."
CAND_0078002,78,310.8137,"Senior AI Engineering candidate with 6.3 years of experience, currently working as a Machine Learning Engineer at Meta. Demonstrates strong hands-on capability in pgvector, TensorFlow, NLP, Hugging Face Transformers; based in Coimbatore, Tamil Nadu with 60 days notice period."
CAND_0018549,79,310.7821,"Senior AI Engineering candidate with 6.8 years of experience, currently working as a Recommendation Systems Engineer at Uber. Demonstrates strong hands-on capability in Weaviate, Elasticsearch, LangChain, Qdrant; based in Coimbatore, Tamil Nadu with 60 days notice period."
CAND_0009837,80,310.7162,"Senior AI Engineering candidate with 4.3 years of experience, currently working as a Senior Data Scientist at Rephrase.ai. Demonstrates strong hands-on capability in LangChain, TensorFlow, PyTorch, Learning to Rank; based in Noida, Uttar Pradesh with 60 days notice period."
CAND_0066376,81,310.4151,"Senior AI Engineering candidate with 5.7 years of experience, currently working as a Applied ML Engineer at Dream11. Demonstrates strong hands-on capability in LoRA, Learning to Rank, NLP, Information Retrieval; based in Mumbai, Maharashtra with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0030468,82,310.3976,"Senior AI Engineering candidate with 5.4 years of experience, currently working as a Senior Applied Scientist at Swiggy. Demonstrates strong hands-on capability in Information Retrieval Systems, TensorFlow, Search & Discovery, OpenSearch; based in Indore, Madhya Pradesh with 45 days notice period."
CAND_0037944,83,309.5578,"Senior AI Engineering candidate with 4.9 years of experience, currently working as a Senior Data Scientist at Vedantu. Demonstrates strong hands-on capability in QLoRA, OpenSearch, Embeddings, Python; based in Jaipur, Rajasthan with 30 days notice period."
CAND_0015528,84,308.6929,"Senior AI Engineering candidate with 7.4 years of experience, currently working as a Applied ML Engineer at Krutrim. Demonstrates strong hands-on capability in Weaviate, LangChain, pgvector, TensorFlow; based in Coimbatore, Tamil Nadu with 30 days notice period."
CAND_0049896,85,307.7620,"Senior AI Engineering candidate with 7.3 years of experience, currently working as a Search Engineer at Unacademy. Demonstrates strong hands-on capability in LangChain, LlamaIndex, Sentence Transformers, PyTorch; based in Vizag, Andhra Pradesh with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0036437,86,307.2368,"Senior AI Engineering candidate with 4.8 years of experience, currently working as a Search Engineer at Rephrase.ai. Demonstrates strong hands-on capability in OpenSearch, Elasticsearch, Sentence Transformers, Milvus; based in Kolkata, West Bengal with 30 days notice period."
CAND_0048558,87,306.6740,"Senior AI Engineering candidate with 6.7 years of experience, currently working as a Data Scientist at Rephrase.ai. Demonstrates strong hands-on capability in Information Retrieval, OpenSearch, Qdrant, Elasticsearch; based in Noida, Uttar Pradesh with 30 days notice period."
CAND_0093547,88,306.3865,"Senior AI Engineering candidate with 2.9 years of experience, currently working as a Senior Machine Learning Engineer at PhonePe. Demonstrates strong hands-on capability in RAG, Python, QLoRA, PEFT; based in Coimbatore, Tamil Nadu with 60 days notice period."
CAND_0005538,89,306.2480,"Senior AI Engineering candidate with 5.9 years of experience, currently working as a Senior AI Engineer at Adobe. Demonstrates strong hands-on capability in QLoRA, Python, PyTorch, LoRA; based in Kolkata, West Bengal with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0072660,90,306.0747,"Senior AI Engineering candidate with 7.1 years of experience, currently working as a Machine Learning Engineer at Unacademy. Demonstrates strong hands-on capability in LoRA, pgvector, PyTorch, Information Retrieval; based in Berlin with 30 days notice period."
CAND_0020708,91,304.5310,"Senior AI Engineering candidate with 4.2 years of experience, currently working as a Search Engineer at PolicyBazaar. Demonstrates strong hands-on capability in NLP, Learning to Rank, Python, Elasticsearch; based in Indore, Madhya Pradesh with 30 days notice period."
CAND_0008239,92,304.1128,"Senior AI Engineering candidate with 4.0 years of experience, currently working as a AI Engineer at Apple. Demonstrates strong hands-on capability in Milvus, Semantic Search, Elasticsearch, LangChain; based in Jaipur, Rajasthan with 15 days notice period."
CAND_0014440,93,303.8650,"Senior AI Engineering candidate with 6.4 years of experience, currently working as a Recommendation Systems Engineer at CRED. Demonstrates strong hands-on capability in Elasticsearch, Milvus, FAISS, Qdrant; based in Chennai, Tamil Nadu with 60 days notice period."
CAND_0079064,94,303.5385,"Senior AI Engineering candidate with 5.2 years of experience, currently working as a Senior Data Scientist at Niramai. Demonstrates strong hands-on capability in LlamaIndex, OpenSearch, NLP, Semantic Search; based in Noida, Uttar Pradesh with 120 days notice period. Note: notice period is longer (120 days) but technical alignment is strong."
CAND_0051004,95,301.9508,"Senior AI Engineering candidate with 4.7 years of experience, currently working as a Senior Data Scientist at CRED. Demonstrates strong hands-on capability in Embeddings, Semantic Search, PyTorch, Qdrant; based in Delhi, Delhi with 15 days notice period."
CAND_0073314,96,301.7824,"Senior AI Engineering candidate with 5.2 years of experience, currently working as a Senior Software Engineer (ML) at Aganitha. Demonstrates strong hands-on capability in PEFT, Milvus, Elasticsearch, PyTorch; based in Noida, Uttar Pradesh with 60 days notice period."
CAND_0032216,97,300.8238,"Senior AI Engineering candidate with 6.1 years of experience, currently working as a ML Engineer at upGrad. Demonstrates strong hands-on capability in Learning to Rank, Information Retrieval, PyTorch, Qdrant; based in Chennai, Tamil Nadu with 30 days notice period."
CAND_0083852,98,300.7139,"Senior AI Engineering candidate with 6.0 years of experience, currently working as a Data Scientist at Mad Street Den. Demonstrates strong hands-on capability in Qdrant, QLoRA, Pinecone, PyTorch; based in Ahmedabad, Gujarat with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
CAND_0072688,99,300.6669,"Senior AI Engineering candidate with 6.9 years of experience, currently working as a Data Scientist at Niramai. Demonstrates strong hands-on capability in Milvus, LoRA, Semantic Search, NLP; based in Pune, Maharashtra with 45 days notice period."
CAND_0092278,100,300.3335,"Senior AI Engineering candidate with 6.8 years of experience, currently working as a Senior NLP Engineer at Microsoft. Demonstrates strong hands-on capability in TensorFlow, Hugging Face Transformers, QLoRA, pgvector; based in Pune, Maharashtra with 90 days notice period. Note: notice period is longer (90 days) but technical alignment is strong."
